,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main.c,,,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,140,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,,0,80000460,140,0,80000460,140,0,80000460,,0,80000450,,0,80000450,
idle.c,,,,,,,,,140,800005A0,,,,,0140,800005A0,290,0140,800005A0,240,,,,,,,,,,,,,,,,,,,,,,0140,800005A0,290,140,800005a0,470,,,,,,,,,
viconfig.c,,,,,,,,,,,,,,,03D0,80000830,,0380,800007E0,150,,,,,,,,,,,,,,,,,,,,,,03D0,80000830,150,5B0,80000a10,180,,,,,,,,,
z_std_dma.c,,"Several functions are gone, others have shrunk considerably",,,,,,,390,800007F0,,,,,,,,04D0,80000930,770,,,,,,,,,,,,,,,,,,,,,,0520,80000980,640,730,80000b90,fa0,,,,,,,,,
yaz0.c,,,,,,,,,,,,,,,,,,0C40,800010A0,340,,,,,,,,,,,,,,,,,,,,,,0B60,80000FC0,340,16D0,80001b30,330,,,,,,,,,
z_locale.c,,,,,,,,,,,,,,,,,,0F80,800013E0,,,,,,,,,,,,,,,,,,,,,,,0EA0,80001300,,1A00,80001e60,190,,,,,,,,,
assert.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B90,80001ff0,80,,,,,,,,,
build/src/boot/is_debug.o(.text),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*fill*         0x0000000080002070       0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1C10,80002070,10,,,,,,,,,
is_debug.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C20,80002080,350,,,,,,,,,
osDriveRomInit.c,,P,,,,,,,,,,,,,,,,1300,80001760,1E0,,,,,,,,,,,,,,,,,,,,,,0FC0,80001420,1E0,1F70,800023d0,1e0,,,,,,,,,
mio0.s,,Id,,,,,,,,,,,,,,,,14E0,80001940,B0,,,,,,,,,,,,,,,,,,,,,,11A0,80001600,B0,2150,800025b0,b0,,,,,,,,,
stackcheck.c,,,,,,,,,,,,,,,,,,1590,800019F0,,,,,,,,,,,,,,,,,,,,,,,1250,800016B0,250,2200,80002660,390,,,,,,,,,
logutils.c,,Retail has only last two functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14A0,80001900,60,2590,800029f0,4e0,,,,,,,,,
sprintf.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A70,80002ed0,d0,,,,,,,,,
piacs.c,,P,,,,,,,,,,,,,,,,1A60,80001EC0,C0,,,,,,,,,,,,,,,,,,,,,,1500,80001960,C0,2B40,80002fa0,c0,,,,,,,,,
osSendMesg.c,,P,,,,,,,,,,,,,,,,1B20,80001F80,150,,,,,,,,,,,,,,,,,,,,,,15C0,80001A20,150,2C00,80003060,150,,,,,,,,,
osStopThread.c,,P,,,,,,,,,,,,,,,,1C70,800020D0,C0,,,,,,,,,,,,,,,,,,,,,,1710,80001B70,C0,2D50,800031b0,c0,,,,,,,,,
osViExtendVStart.c,,P,,,,,,,,,,,,,,,,1D30,80002190,10,,,,,,,,,,,,,,,,,,,,,,17D0,80001C30,10,2E10,80003270,10,,,,,,,,,
osViModePalLan1.c,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E20,80003280,0,,,,,,,,,
osRecvMesg.c,,P,,,,,,,,,,,,,,,,1D40,800021A0,,,,,,,,,,,,,,,,,,,,,,,17E0,80001C40,140,2E20,80003280,140,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initialize.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,80001D80,350,2F60,800033c0,350,,,,,,,,,
ll.c,,Id,,,,,,,,,,,,,,,,1E80,800022E0,2C0,,,,,,,,,,,,,,,,,,,,,,1C70,800020D0,2C0,32B0,80003710,2c0,,,,,,,,,
exceptasm.s,,P,,,,,,,,,,,,,,,,2140,800025A0,900,,,,,,,,,,,,,,,,,,,,,,1F30,80002390,930,3570,800039d0,930,,,,,,,,,
__osDequeueThread.c,,Id,,,,,,,,,,,,,,,,2A40,80002EA0,40,,,,,,,,,,,,,,,,,,,,,,2860,80002CC0,40,3EA0,80004300,40,,,,,,,,,
osDestroyThread.c,,P,,,,,,,,,,,,,,,,2A80,80002EE0,110,,,,,,,,,,,,,,,,,,,,,,28A0,80002D00,110,3EE0,80004340,110,,,,,,,,,
bzero.s,,Handwritten? Id,,,,,,,,,,,,,,,,2B90,80002FF0,A0,,,,,,,,,,,,,,,,,,,,,,29B0,80002E10,100,3FF0,80004450,100,,,,,,,,,
osCreateThread.c,,P,,,,,,,,,,,,,,,,2C30,80003090,,,,,,,,,,,,,,,,,,,,,,,2AB0,80002F10,150,40F0,80004550,150,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__osSetSR.s,,Id,,,,,,,,,,,,,,,,3130,80003590,10,,,,,,,,,,,,,,,,,,,,,,2C00,80003060,10,4240,800046a0,10,,,,,,,,,
__osGetSR.s,,Id,,,,,,,,,,,,,,,,3140,800035A0,10,,,,,,,,,,,,,,,,,,,,,,2C10,80003070,10,4250,800046b0,10,,,,,,,,,
osWritebackDCache.s,,Id,,,,,,,,,,,,,,,,3150,800035B0,80,,,,,,,,,,,,,,,,,,,,,,2C20,80003080,80,4260,800046c0,80,,,,,,,,,
osViGetNextFramebuffer.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2CA0,80003100,40,42E0,80004740,40,,,,,,,,,
pimgr.c,,P,,,,,,,,,,,,,,,,3210,80003670,170,,,,,,,,,,,,,,,,,,,,,,2CE0,80003140,170,4320,80004780,170,,,,,,,,,
build/src/libultra_boot_O2/__osDevMgrMain.o(.text),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*fill*         0x00000000800048f0       0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E50,800032B0,10,4490,800048f0,10,,,,,,,,,
__osDevMgrMain.c,,P,,,,,,,,,,,,,33E0,80003840,,3380,800037E0,410,,,,,,,,,,,,,,,,,,,,,,2E60,800032C0,410,44A0,80004900,410,,,,,,,,,
__osPiRawStartDma.c,,P,,,,,,,,,,,,,,,,3790,80003BF0,D0,,,,,,,,,,,,,,,,,,,,,,3270,800036D0,D0,48B0,80004d10,d0,,,,,,,,,
osVirtualToPhysical.c,,P,,,,,,,,,,,,,,,,3860,80003CC0,80,,,,,,,,,,,,,,,,,,,,,,3340,800037A0,80,4980,80004de0,80,,,,,,,,,
osViBlack.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33C0,80003820,70,4A00,80004e60,70,,,,,,,,,
__osSiRawReadIo.c,,P,,,,,,,,,,,,,,,,3950,80003DB0,50,,,,,,,,,,,,,,,,,,,,,,3430,80003890,50,4A70,80004ed0,50,,,,,,,,,
osGetThreadId.c,,P,,,,,,,,,,,,,,,,39A0,80003E00,20,,,,,,,,,,,,,,,,,,,,,,3480,800038E0,20,4AC0,80004f20,20,,,,,,,,,
osSetIntMask.s,,P,,,,,,,,,,,,,,,,39C0,80003E20,A0,,,,,,,,,,,,,,,,,,,,,,34A0,80003900,A0,4AE0,80004f40,a0,,,,,,,,,
osViSetMode.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540,800039A0,60,4B80,80004fe0,60,,,,,,,,,
__osProbeTLB.s,,Id,,,,,,,,,,,,,,,,3AC0,80003F20,D0,,,,,,,,,,,,,,,,,,,,,,35A0,80003A00,C0,4BE0,80005040,c0,,,,,,,,,
osGetMemSize.c,,Id,,,,,,,,,,,,,,,,3B90,80003FF0,120,,,,,,,,,,,,,,,,,,,,,,3660,80003AC0,120,4CA0,80005100,120,,,,,,,,,
osSetEventMesg.c,,P,,,,,,,,,,,,,,,,3CB0,80004110,C0,,,,,,,,,,,,,,,,,,,,,,3780,80003BE0,C0,4DC0,80005220,c0,,,,,,,,,
_Printf.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4E80,800052e0,ce0,,,,,,,,,
osUnmapTLBAll.s,,Id,,,,,,,,,,,,,,,,3D70,800041D0,50,,,,,,,,,,,,,,,,,,,,,,3840,80003CA0,50,5B60,80005fc0,50,,,,,,,,,
osEPiStartDma.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,80003CF0,A0,5BB0,80006010,a0,,,,,,,,,
string.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5C50,800060b0,a0,,,,,,,,,
osInvalICache.s,,Id,,,,,,,,,,,,,,,,3EA0,80004300,80,,,,,,,,,,,,,,,,,,,,,,3930,80003D90,80,5CF0,80006150,80,,,,,,,,,
osCreateMesgQueue.c,,P,,,,,,,,,,,,,,,,3F20,80004380,30,,,,,,,,,,,,,,,,,,,,,,39B0,80003E10,30,5D70,800061d0,30,,,,,,,,,
osInvalDCache.s,,Id,,,,,,,,,,,,,,,,3F50,800043B0,B0,,,,,,,,,,,,,,,,,,,,,,39E0,80003E40,B0,5DA0,80006200,b0,,,,,,,,,
__osSiDeviceBusy.c,,Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3A90,80003EF0,30,5E50,800062b0,30,,,,,,,,,
osJamMesg.c,,P,,,,,,,,,,,,,,,,4030,80004490,150,,,,,,,,,,,,,,,,,,,,,,3AC0,80003F20,150,5E80,800062e0,150,,,,,,,,,
osSetThreadPri.c,,P,,,,,,,,,,,,,,,,4180,800045E0,E0,,,,,,,,,,,,,,,,,,,,,,3C10,80004070,E0,5FD0,80006430,e0,,,,,,,,,
osGetThreadPri.c,,P,,,,,,,,,,,,,,,,4260,800046C0,20,,,,,,,,,,,,,,,,,,,,,,3CF0,80004150,20,60B0,80006510,20,,,,,,,,,
__osEPiRawReadIo.c,,P,,,,,,,,,,,,,,,,4280,800046E0,160,,,,,,,,,,,,,,,,,,,,,,3D10,80004170,160,60D0,80006530,160,,,,,,,,,
osViSwapBuffer.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3E70,800042D0,50,6230,80006690,50,,,,,,,,,
__osEPiRawStartDma.c,,P,,,,,,,,,,,,,,,,4430,80004890,1E0,,,,,,,,,,,,,,,,,,,,,,3EC0,80004320,1E0,6280,800066e0,1e0,,,,,,,,,
bcmp.s,,Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40A0,80004500,120,6460,800068c0,120,,,,,,,,,
osGetTime.c,,P,,,,,,,,,,,,,,,,4610,80004A70,90,,,,,,,,,,,,,,,,,,,,,,41C0,80004620,90,6580,800069e0,90,,,,,,,,,
timerintr.c,,P,,,,,,,,,,,,,,,,46A0,80004B00,400,,,,,,,,,,,,,,,,,,,,,,4250,800046B0,430,6610,80006a70,430,,,,,,,,,
osGetCount.s,,Id,,,,,,,,,,,,,,,,4AA0,80004F00,10,,,,,,,,,,,,,,,,,,,,,,4680,80004AE0,10,6A40,80006ea0,10,,,,,,,,,
__osSetGlobalIntMask.c,,P,,,,,,,,,,,,,,,,4AB0,80004F10,50,,,,,,,,,,,,,,,,,,,,,,4690,80004AF0,50,6A50,80006eb0,50,,,,,,,,,
__osSetCompare.s,,Id,,,,,,,,,,,,,,,,4B00,80004F60,10,,,,,,,,,,,,,,,,,,,,,,46E0,80004B40,10,6AA0,80006f00,10,,,,,,,,,
bcopy.s,,Id,,,,,,,,,,,,,,,,4B10,80004F70,310,,,,,,,,,,,,,,,,,,,,,,46F0,80004B50,310,6AB0,80006f10,310,,,,,,,,,
__osResetGlobalIntMask.c,,P,,,,,,,,,,,,,,,,4E20,80005280,60,,,,,,,,,,,,,,,,,,,,,,4A00,80004E60,60,6DC0,80007220,60,,,,,,,,,
__osDisableInt.s,,P,,,,,,,,,,,,,,,,4E80,800052E0,70,,,,,,,,,,,,,,,,,,,,,,4A60,80004EC0,70,6E20,80007280,70,,,,,,,,,
__osRestoreInt.s,,Id,,,,,,,,,,,,,,,,4EF0,80005350,20,,,,,,,,,,,,,,,,,,,,,,4AD0,80004F30,20,6E90,800072f0,20,,,,,,,,,
osViModeNtscLan1.c,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EB0,80007310,0,,,,,,,,,
osViModeMpalLan1.c,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EB0,80007310,0,,,,,,,,,
__osViInit.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4AF0,80004F50,120,6EB0,80007310,120,,,,,,,,,
__osViSwapContext.c,,P,,,,,,,,,,,,,,,,5050,800054B0,300,,,,,,,,,,,,,,,,,,,,,,4C10,80005070,300,6FD0,80007430,300,,,,,,,,,
osPiGetCmdQueue.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4F10,80005370,30,72D0,80007730,30,,,,,,,,,
osEPiReadIo.c,,P,,,,,,,,,,,,,,,,5380,800057E0,50,,,,,,,,,,,,,,,,,,,,,,4F40,800053A0,50,7300,80007760,50,,,,,,,,,
osViSetSpecialFeatures.c,,P,,,,,,,,,,,,,,,,53D0,80005830,160,,,,,,,,,,,,,,,,,,,,,,4F90,800053F0,160,7350,800077b0,160,,,,,,,,,
osCartRomInit.c,,P,,,,,,,,,,,,,,,,5530,80005990,160,,,,,,,,,,,,,,,,,,,,,,50F0,80005550,160,74B0,80007910,160,,,,,,,,,
osViModeFpalLan1.c,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7610,80007a70,0,,,,,,,,,
__osSetFpcCsr.s,,Id,,,,,,,,,,,,,,,,5690,80005AF0,10,,,,,,,,,,,,,,,,,,,,,,5250,800056B0,10,7610,80007a70,10,,,,,,,,,
__osGetFpcCsr.s,,Id,,,,,,,,,,,,,,,,56A0,80005B00,10,,,,,,,,,,,,,,,,,,,,,,5260,800056C0,10,7620,80007a80,10,,,,,,,,,
osEPiWriteIo.c,,Debug-only?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7630,80007a90,50,,,,,,,,,
osMapTLBRdb.s,,P,,,,,,,,,,,,,,,,5700,80005B60,60,,,,,,,,,,,,,,,,,,,,,,5270,800056D0,60,7680,80007ae0,60,,,,,,,,,
osYieldThread.c,,P,,,,,,,,,,,,,,,,5760,80005BC0,50,,,,,,,,,,,,,,,,,,,,,,52D0,80005730,50,76E0,80007b40,50,,,,,,,,,
__osGetCause.s,,P,,,,,,,,,,,,,,,,57B0,80005C10,10,,,,,,,,,,,,,,,,,,,,,,5320,80005780,10,7730,80007b90,10,,,,,,,,,
__osEPiRawWriteIo.c,,P,,,,,,,,,,,,,,,,57C0,80005C20,160,,,,,,,,,,,,,,,,,,,,,,5330,80005790,160,7740,80007ba0,160,,,,,,,,,
_Litob.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78A0,80007d00,2a0,,,,,,,,,
ldiv.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B40,80007fa0,190,,,,,,,,,
_Ldtob.c,,In code on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7CD0,80008130,b10,,,,,,,,,
build.c,,"No text, only rodata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87E0,80008c40,0,,,,,,,,,
__osSiRawWriteIo.c,,P,,,,,,,,,,,,,,,,5A00,80005E60,50,,,,,,,,,,,,,,,,,,,,,,5490,800058F0,50,87E0,80008c40,50,,,,,,,,,
build/src/libultra_boot_O2/vimgr.o(.text),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*fill*         0x0000000080008c90       0x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,8830,80008c90,10,,,,,,,,,
vimgr.c,,P,,,,,,,,,,,,,,,,5A60,80005EC0,310,,,,,,,,,,,,,,,,,,,,,,54E0,80005940,310,8840,80008ca0,310,,,,,,,,,
__osViGetCurrentContext.c,,P,,,,,,,,,,,,,,,,5D70,800061D0,10,,,,,,,,,,,,,,,,,,,,,,57F0,80005C50,10,8B50,80008fb0,10,,,,,,,,,
osStartThread.c,,P,,,,,,,,,,,,,,,,5D80,800061E0,150,,,,,,,,,,,,,,,,,,,,,,5800,80005C60,150,8B60,80008fc0,150,,,,,,,,,
osViSetYScale.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950,80005DB0,50,8CB0,80009110,50,,,,,,,,,
osViSetXScale.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59A0,80005E00,110,8D00,80009160,110,,,,,,,,,
__osSetHWIntrRoutine.c,,P,,,,,,,,,,,,,,,,6060,800064C0,70,,,,,,,,,,,,,,,,,,,,,,5AB0,80005F10,70,8E10,80009270,70,,,,,,,,,
__osGetHWIntrRoutine.c,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5B20,80005F80,30,8E80,800092e0,30,,,,,,,,,
__osSetWatchLo.s,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5B50,80005FB0,10,8EB0,80009310,10,,,,,,,,,
rsp_boot.text.s,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5B60,80005FC0,110,8EC0,80009320,110,,,,,,,,,
,,,,,,,,,,,,,,,6310,80006770,,62B0,80006710,,,,,,,,,,,,,,,,,,,,,,,5C70,800060D0,,8FD0,80009430,,,,,,,,,,
