entry,00001030,entrypoint
boot_main,80000460,cleararena
boot_main,80000498,bootproc
idle,800005A0,Main_ThreadEntry
idle,80000694,Idle_ThreadEntry
viconfig,80000A10,ViConfig_UpdateVi
viconfig,80000B48,ViConfig_UpdateBlack
z_std_dma,80000B90,DmaMgr_CompareName
z_std_dma,80000BFC,DmaMgr_DMARomToRam
z_std_dma,80000F68,DmaMgr_DmaCallback0
z_std_dma,800010A0,DmaMgr_DmaCallback1
z_std_dma,80001140,DmaMgr_Error
z_std_dma,80001330,DmaMgr_GetFileNameImpl
z_std_dma,80001390,DmaMgr_GetFileName
z_std_dma,800013FC,DmaMgr_ProcessMsg
z_std_dma,800015CC,DmaMgr_ThreadEntry
z_std_dma,80001664,DmaMgr_SendRequestImpl
z_std_dma,800017C0,DmaMgr_SendRequest0
z_std_dma,8000183C,DmaMgr_Init
z_std_dma,80001A5C,DmaMgr_SendRequest2
z_std_dma,80001AA0,DmaMgr_SendRequest1
yaz0,80001B30,Yaz0_FirstDMA
yaz0,80001BC8,Yaz0_NextDMA
yaz0,80001CB0,Yaz0_DecompressImpl
yaz0,80001E14,Yaz0_Decompress
z_locale,80001F48,func_80001F48
z_locale,80001F8C,func_80001F8C
assert,80001FF0,__assert
is_debug,80002080,isPrintfInit
is_debug,800020F0,osSyncPrintfUnused
is_debug,80002130,osSyncPrintf
is_debug,80002170,rmonPrintf
is_debug,800021B0,is_proutSyncPrintf
is_debug,80002384,func_80002384
osDriveRomInit,800023D0,osDriveRomInit
mio0,800025B0,Mio0_Decompress
stackcheck,80002660,StackCheck_Init
stackcheck,8000276C,StackCheck_Cleanup
stackcheck,80002808,StackCheck_GetState
stackcheck,8000295C,StackCheck_CheckAll
stackcheck,800029B4,StackCheck_Check
sprintf,80002ED0,proutSprintf
sprintf,80002EF4,vsprintf
sprintf,80002F44,sprintf
piacs,80002FA0,__osPiCreateAccessQueue
piacs,80002FF0,__osPiGetAccess
piacs,80003034,__osPiRelAccess
osSendMesg,80003060,osSendMesg
osStopThread,800031B0,osStopThread
osViExtendVStart,80003270,osViExtendVStart
osRecvMesg,80003280,osRecvMesg
initialize,800033C0,__createSpeedParam
initialize,8000345C,__osInitialize_common
initialize,80003708,__osInitialize_autodetect
ll,80003710,__ull_rshift
ll,8000373C,__ull_rem
ll,80003778,__ull_div
ll,800037B4,__ll_lshift
ll,800037E0,__ll_rem
ll,8000381C,__ll_div
ll,80003878,__ll_mul
ll,800038A8,__ull_divremi
ll,80003908,__ll_mod
ll,800039A4,__ll_rshift
exceptasm,800039D0,__osExceptionPreamble
exceptasm,800039E0,__osException
exceptasm,80003F2C,send_mesg
exceptasm,80004000,func_80004000
exceptasm,80004014,__osEnqueueAndYield
exceptasm,80004114,__osEnqueueThread
exceptasm,8000415C,__osPopThread
exceptasm,8000416C,__osNop
exceptasm,80004174,__osDispatchThread
exceptasm,800042F0,__osCleanupThread
__osDequeueThread,80004300,__osDequeueThread
osDestroyThread,80004340,osDestroyThread
bzero,80004450,bzero
osCreateThread,80004550,osCreateThread
__osSetSR,800046A0,__osSetSR
__osGetSR,800046B0,__osGetSR
osWritebackDCache,800046C0,osWritebackDCache
osViGetNextFramebuffer,80004740,osViGetNextFramebuffer
pimgr,80004780,osCreatePiManager
__osDevMgrMain,80004900,__osDevMgrMain
__osPiRawStartDma,80004D10,__osPiRawStartDma
osVirtualToPhysical,80004DE0,osVirtualToPhysical
osViBlack,80004E60,osViBlack
__osSiRawReadIo,80004ED0,__osSiRawReadIo
osGetThreadId,80004F20,osGetThreadId
osSetIntMask,80004F40,osSetIntMask
osViSetMode,80004FE0,osViSetMode
__osProbeTLB,80005040,__osProbeTLB
osGetMemSize,80005100,osGetMemSize
osSetEventMesg,80005220,osSetEventMesg
_Printf,800052E0,_Printf
_Printf,80005928,_Putfld
osUnmapTLBAll,80005FC0,osUnmapTLBAll
osEPiStartDma,80006010,osEPiStartDma
string,800060B0,strchr
string,800060F0,strlen
string,80006118,memcpy
osInvalICache,80006150,osInvalICache
osCreateMesgQueue,800061D0,osCreateMesgQueue
osInvalDCache,80006200,osInvalDCache
__osSiDeviceBusy,800062B0,__osSiDeviceBusy
osJamMesg,800062E0,osJamMesg
osSetThreadPri,80006430,osSetThreadPri
osGetThreadPri,80006510,osGetThreadPri
__osEPiRawReadIo,80006530,__osEPiRawReadIo
osViSwapBuffer,80006690,osViSwapBuffer
__osEPiRawStartDma,800066E0,__osEPiRawStartDma
bcmp,800068C0,bcmp
osGetTime,800069E0,osGetTime
timerintr,80006A70,__osTimerServicesInit
timerintr,80006AFC,__osTimerInterrupt
timerintr,80006C74,__osSetTimerIntr
timerintr,80006D14,__osInsertTimer
osGetCount,80006EA0,osGetCount
__osSetGlobalIntMask,80006EB0,__osSetGlobalIntMask
__osSetCompare,80006F00,__osSetCompare
bcopy,80006F10,bcopy
__osResetGlobalIntMask,80007220,__osResetGlobalIntMask
__osDisableInt,80007280,__osDisableInt
__osRestoreInt,800072F0,__osRestoreInt
__osViInit,80007310,__osViInit
__osViSwapContext,80007430,__osViSwapContext
osPiGetCmdQueue,80007730,osPiGetCmdQueue
osEPiReadIo,80007760,osEPiReadIo
osViSetSpecialFeatures,800077B0,osViSetSpecialFeatures
osCartRomInit,80007910,osCartRomInit
__osSetFpcCsr,80007A70,__osSetFpcCsr
__osGetFpcCsr,80007A80,__osGetFpcCsr
osEPiWriteIo,80007A90,osEPiWriteIo
osMapTLBRdb,80007AE0,osMapTLBRdb
osYieldThread,80007B40,osYieldThread
__osGetCause,80007B90,__osGetCause
__osEPiRawWriteIo,80007BA0,__osEPiRawWriteIo
_Litob,80007D00,_Litob
ldiv,80007FA0,ldiv
ldiv,80008024,lldiv
_Ldtob,80008130,_Ldtob
_Ldtob,800085C0,_Ldunscale
_Ldtob,80008678,_Genld
__osSiRawWriteIo,80008C40,__osSiRawWriteIo
vimgr,80008CA0,osCreateViManager
vimgr,80008E20,viMgrMain
__osViGetCurrentContext,80008FB0,__osViGetCurrentContext
osStartThread,80008FC0,osStartThread
osViSetYScale,80009110,osViSetYScale
osViSetXScale,80009160,osViSetXScale
__osSetHWIntrRoutine,80009270,__osSetHWIntrRoutine
__osGetHWIntrRoutine,800092E0,__osGetHWIntrRoutine
__osSetWatchLo,80009310,__osSetWatchLo
text,80009320,D_80009320
text,800093F0,D_800093F0
text,80009410,D_80009410
dmadata,80016DA0,gDmaDataTable
z_en_a_keep,8001CE60,EnAObj_SetupAction
z_en_a_keep,8001CE68,EnAObj_Init
z_en_a_keep,8001D1A8,EnAObj_Destroy
z_en_a_keep,8001D204,func_8001D204
z_en_a_keep,8001D234,func_8001D234
z_en_a_keep,8001D25C,func_8001D25C
z_en_a_keep,8001D310,func_8001D310
z_en_a_keep,8001D360,func_8001D360
z_en_a_keep,8001D480,func_8001D480
z_en_a_keep,8001D4A8,func_8001D4A8
z_en_a_keep,8001D5C8,func_8001D5C8
z_en_a_keep,8001D608,func_8001D608
z_en_a_keep,8001D6F0,EnAObj_Update
z_en_a_keep,8001D804,EnAObj_Draw
z_en_item00,8001D930,EnItem00_SetupAction
z_en_item00,8001D938,EnItem00_Init
z_en_item00,8001DFA0,EnItem00_Destroy
z_en_item00,8001DFC8,func_8001DFC8
z_en_item00,8001E1C8,func_8001E1C8
z_en_item00,8001E304,func_8001E304
z_en_item00,8001E5C8,func_8001E5C8
z_en_item00,8001E71C,EnItem00_Update
z_en_item00,8001ED9C,EnItem00_Draw
z_en_item00,8001EF30,func_8001EF30
z_en_item00,8001F080,func_8001F080
z_en_item00,8001F1F4,func_8001F1F4
z_en_item00,8001F334,func_8001F334
z_en_item00,8001F404,func_8001F404
z_en_item00,8001F548,Item_DropCollectible
z_en_item00,8001F77C,Item_DropCollectible2
z_en_item00,8001F940,Item_DropCollectibleRandom
z_eff_blure,8001FDF0,EffectBlure_AddVertex
z_eff_blure,80020120,EffectBlure_AddSpace
z_eff_blure,80020184,EffectBlure_InitElements
z_eff_blure,8002023C,EffectBlure_Init1
z_eff_blure,80020348,EffectBlure_Init2
z_eff_blure,80020478,EffectBlure_Destroy
z_eff_blure,80020480,EffectBlure_Update
z_eff_blure,800208E0,EffectBlure_UpdateFlags
z_eff_blure,80020A50,EffectBlure_GetComputedValues
z_eff_blure,80020F60,EffectBlure_SetupSmooth
z_eff_blure,80020FC0,EffectBlure_DrawElemNoInterpolation
z_eff_blure,800214D0,EffectBlure_DrawElemHermiteInterpolation
z_eff_blure,80021F00,EffectBlure_DrawSmooth
z_eff_blure,800221FC,EffectBlure_SetupSimple
z_eff_blure,80022264,EffectBlure_SetupSimpleAlt
z_eff_blure,800224F4,EffectBlure_DrawSimpleVertices
z_eff_blure,80022A10,EffectBlure_DrawSimple
z_eff_blure,80022F20,EffectBlure_Draw
z_eff_shield_particle,80023450,EffectShieldParticle_Init
z_eff_shield_particle,800236B4,EffectShieldParticle_Destroy
z_eff_shield_particle,80023738,EffectShieldParticle_Update
z_eff_shield_particle,8002389C,EffectShieldParticle_GetColors
z_eff_shield_particle,800245BC,EffectShieldParticle_Draw
z_eff_spark,80024B00,EffectSpark_Init
z_eff_spark,80024F0C,EffectSpark_Destroy
z_eff_spark,80024F14,EffectSpark_Update
z_eff_spark,80025000,EffectSpark_Draw
z_eff_ss_dead,80026230,func_80026230
z_eff_ss_dead,80026400,func_80026400
z_eff_ss_dead,80026608,func_80026608
z_eff_ss_dead,80026690,func_80026690
z_eff_ss_dead,80026860,func_80026860
z_eff_ss_dead,80026A6C,func_80026A6C
z_effect,80026B00,Effect_GetGlobalCtx
z_effect,80026B0C,Effect_GetByIndex
z_effect,80026C1C,Effect_InitStatus
z_effect,80026C2C,Effect_InitContext
z_effect,80026CD4,Effect_Add
z_effect,80026E74,Effect_DrawAll
z_effect,80026F70,Effect_UpdateAll
z_effect,8002709C,Effect_Delete
z_effect,800271A8,Effect_DeleteAll
z_effect_soft_sprite,800272B0,EffectSs_InitInfo
z_effect_soft_sprite,80027410,EffectSs_ClearAll
z_effect_soft_sprite,800274E0,EffectSs_Delete
z_effect_soft_sprite,8002753C,EffectSs_Reset
z_effect_soft_sprite,800275D0,EffectSs_FindSlot
z_effect_soft_sprite,80027704,EffectSs_Insert
z_effect_soft_sprite,80027798,EffectSs_Spawn
z_effect_soft_sprite,80027A40,EffectSs_Update
z_effect_soft_sprite,80027AE0,EffectSs_UpdateAll
z_effect_soft_sprite,80027B98,EffectSs_Draw
z_effect_soft_sprite,80027BDC,EffectSs_DrawAll
z_effect_soft_sprite,80027DD4,func_80027DD4
z_effect_soft_sprite,80027E34,func_80027E34
z_effect_soft_sprite,80027E84,func_80027E84
z_effect_soft_sprite_old_init,80027F80,EffectSs_DrawGEffect
z_effect_soft_sprite_old_init,800281E8,EffectSsDust_Spawn
z_effect_soft_sprite_old_init,8002829C,func_8002829C
z_effect_soft_sprite_old_init,80028304,func_80028304
z_effect_soft_sprite_old_init,8002836C,func_8002836C
z_effect_soft_sprite_old_init,800283D4,func_800283D4
z_effect_soft_sprite_old_init,8002843C,func_8002843C
z_effect_soft_sprite_old_init,800284A4,func_800284A4
z_effect_soft_sprite_old_init,80028510,func_80028510
z_effect_soft_sprite_old_init,8002857C,func_8002857C
z_effect_soft_sprite_old_init,800285EC,func_800285EC
z_effect_soft_sprite_old_init,8002865C,func_8002865C
z_effect_soft_sprite_old_init,800286CC,func_800286CC
z_effect_soft_sprite_old_init,8002873C,func_8002873C
z_effect_soft_sprite_old_init,800287AC,func_800287AC
z_effect_soft_sprite_old_init,8002881C,func_8002881C
z_effect_soft_sprite_old_init,80028858,func_80028858
z_effect_soft_sprite_old_init,80028894,func_80028894
z_effect_soft_sprite_old_init,80028990,func_80028990
z_effect_soft_sprite_old_init,80028A54,func_80028A54
z_effect_soft_sprite_old_init,80028B18,EffectSsKiraKira_SpawnSmallYellow
z_effect_soft_sprite_old_init,80028B74,EffectSsKiraKira_SpawnSmall
z_effect_soft_sprite_old_init,80028BB0,EffectSsKiraKira_SpawnDispersed
z_effect_soft_sprite_old_init,80028CEC,EffectSsKiraKira_SpawnFocused
z_effect_soft_sprite_old_init,80028DC4,EffectSsBomb_Spawn
z_effect_soft_sprite_old_init,80028E1C,EffectSsBomb2_SpawnFade
z_effect_soft_sprite_old_init,80028E84,EffectSsBomb2_SpawnLayered
z_effect_soft_sprite_old_init,80028EF4,EffectSsBlast_Spawn
z_effect_soft_sprite_old_init,80028F84,EffectSsBlast_SpawnWhiteCustomScale
z_effect_soft_sprite_old_init,80028FD8,EffectSsBlast_SpawnShockwave
z_effect_soft_sprite_old_init,80029024,EffectSsBlast_SpawnWhiteShockwave
z_effect_soft_sprite_old_init,80029060,EffectSsGSpk_SpawnAccel
z_effect_soft_sprite_old_init,800290F0,EffectSsGSpk_SpawnNoAccel
z_effect_soft_sprite_old_init,80029184,EffectSsGSpk_SpawnFuse
z_effect_soft_sprite_old_init,800291D8,EffectSsGSpk_SpawnRandColor
z_effect_soft_sprite_old_init,800292DC,EffectSsGSpk_SpawnSmall
z_effect_soft_sprite_old_init,80029320,EffectSsDFire_Spawn
z_effect_soft_sprite_old_init,800293A0,EffectSsDFire_SpawnFixedScale
z_effect_soft_sprite_old_init,800293E4,EffectSsBubble_Spawn
z_effect_soft_sprite_old_init,80029444,EffectSsGRipple_Spawn
z_effect_soft_sprite_old_init,8002949C,EffectSsGSplash_Spawn
z_effect_soft_sprite_old_init,80029530,EffectSsGMagma_Spawn
z_effect_soft_sprite_old_init,80029568,EffectSsGFire_Spawn
z_effect_soft_sprite_old_init,800295A0,EffectSsLightning_Spawn
z_effect_soft_sprite_old_init,80029618,EffectSsDtBubble_SpawnColorProfile
z_effect_soft_sprite_old_init,80029694,EffectSsDtBubble_SpawnCustomColor
z_effect_soft_sprite_old_init,80029724,EffectSsHahen_Spawn
z_effect_soft_sprite_old_init,800297A4,EffectSsHahen_SpawnBurst
z_effect_soft_sprite_old_init,800298EC,EffectSsStick_Spawn
z_effect_soft_sprite_old_init,8002993C,EffectSsSibuki_Spawn
z_effect_soft_sprite_old_init,800299AC,EffectSsSibuki_SpawnBurst
z_effect_soft_sprite_old_init,80029B30,EffectSsSibuki2_Spawn
z_effect_soft_sprite_old_init,80029B90,EffectSsGMagma2_Spawn
z_effect_soft_sprite_old_init,80029C00,EffectSsStone1_Spawn
z_effect_soft_sprite_old_init,80029C50,EffectSsHitMark_Spawn
z_effect_soft_sprite_old_init,80029CA4,EffectSsHitMark_SpawnFixedScale
z_effect_soft_sprite_old_init,80029CC8,EffectSsHitMark_SpawnCustomScale
z_effect_soft_sprite_old_init,80029CF0,EffectSsFhgFlash_SpawnLightBall
z_effect_soft_sprite_old_init,80029D5C,EffectSsFhgFlash_SpawnShock
z_effect_soft_sprite_old_init,80029DBC,EffectSsKFire_Spawn
z_effect_soft_sprite_old_init,80029E24,EffectSsSolderSrchBall_Spawn
z_effect_soft_sprite_old_init,80029E8C,EffectSsKakera_Spawn
z_effect_soft_sprite_old_init,80029F44,EffectSsIcePiece_Spawn
z_effect_soft_sprite_old_init,80029FAC,EffectSsIcePiece_SpawnBurst
z_effect_soft_sprite_old_init,8002A140,EffectSsEnIce_SpawnFlyingVec3f
z_effect_soft_sprite_old_init,8002A1DC,EffectSsEnIce_SpawnFlyingVec3s
z_effect_soft_sprite_old_init,8002A2A4,EffectSsEnIce_Spawn
z_effect_soft_sprite_old_init,8002A32C,EffectSsFireTail_Spawn
z_effect_soft_sprite_old_init,8002A3C4,EffectSsFireTail_SpawnFlame
z_effect_soft_sprite_old_init,8002A484,EffectSsFireTail_SpawnFlameOnPlayer
z_effect_soft_sprite_old_init,8002A4D4,EffectSsEnFire_SpawnVec3f
z_effect_soft_sprite_old_init,8002A54C,EffectSsEnFire_SpawnVec3s
z_effect_soft_sprite_old_init,8002A5F4,EffectSsExtra_Spawn
z_effect_soft_sprite_old_init,8002A65C,EffectSsFCircle_Spawn
z_effect_soft_sprite_old_init,8002A6B8,EffectSsDeadDb_Spawn
z_effect_soft_sprite_old_init,8002A770,EffectSsDeadDd_Spawn
z_effect_soft_sprite_old_init,8002A824,EffectSsDeadDd_SpawnRandYellow
z_effect_soft_sprite_old_init,8002A894,EffectSsDeadDs_Spawn
z_effect_soft_sprite_old_init,8002A90C,EffectSsDeadDs_SpawnStationary
z_effect_soft_sprite_old_init,8002A95C,EffectSsDeadSound_Spawn
z_effect_soft_sprite_old_init,8002A9F4,EffectSsDeadSound_SpawnStationary
z_effect_soft_sprite_old_init,8002AA44,EffectSsIceSmoke_Spawn
flg_set,8002AAB0,FlagSet_Update
z_DLF,8002AF00,Overlay_LoadGameState
z_DLF,8002B0A8,Overlay_FreeGameState
z_actor,8002B1E0,ActorShape_Init
z_actor,8002B200,ActorShadow_Draw
z_actor,8002B5EC,ActorShadow_DrawCircle
z_actor,8002B614,ActorShadow_DrawWhiteCircle
z_actor,8002B644,ActorShadow_DrawHorse
z_actor,8002B66C,ActorShadow_DrawFoot
z_actor,8002B8C4,ActorShadow_DrawFeet
z_actor,8002BDB0,Actor_SetFeetPos
z_actor,8002BE04,func_8002BE04
z_actor,8002BE64,func_8002BE64
z_actor,8002BE98,func_8002BE98
z_actor,8002BF60,func_8002BF60
z_actor,8002C0C0,func_8002C0C0
z_actor,8002C124,func_8002C124
z_actor,8002C7BC,func_8002C7BC
z_actor,8002CB40,Flags_GetSwitch
z_actor,8002CB74,Flags_SetSwitch
z_actor,8002CBB4,Flags_UnsetSwitch
z_actor,8002CBF8,Flags_GetUnknown
z_actor,8002CC2C,Flags_SetUnknown
z_actor,8002CC6C,Flags_UnsetUnknown
z_actor,8002CCB0,Flags_GetTreasure
z_actor,8002CCC4,Flags_SetTreasure
z_actor,8002CCDC,Flags_GetClear
z_actor,8002CCF0,Flags_SetClear
z_actor,8002CD08,Flags_UnsetClear
z_actor,8002CD24,Flags_GetTempClear
z_actor,8002CD38,Flags_SetTempClear
z_actor,8002CD50,Flags_UnsetTempClear
z_actor,8002CD6C,Flags_GetCollectible
z_actor,8002CDA0,Flags_SetCollectible
z_actor,8002CDE4,func_8002CDE4
z_actor,8002CE00,TitleCard_InitBossName
z_actor,8002CE40,TitleCard_InitPlaceName
z_actor,8002CEF0,TitleCard_Update
z_actor,8002CFAC,TitleCard_Draw
z_actor,8002D53C,func_8002D53C
z_actor,8002D570,Actor_Kill
z_actor,8002D58C,Actor_SetWorldToHome
z_actor,8002D5B8,Actor_SetFocus
z_actor,8002D5F4,Actor_SetWorldRotToShape
z_actor,8002D610,Actor_SetShapeRotToWorld
z_actor,8002D62C,Actor_SetScale
z_actor,8002D644,Actor_SetObjectDependency
z_actor,8002D678,Actor_Init
z_actor,8002D788,Actor_Destroy
z_actor,8002D7EC,func_8002D7EC
z_actor,8002D868,func_8002D868
z_actor,8002D8E0,Actor_MoveForward
z_actor,8002D908,func_8002D908
z_actor,8002D97C,func_8002D97C
z_actor,8002D9A4,func_8002D9A4
z_actor,8002D9F8,func_8002D9F8
z_actor,8002DA78,Actor_WorldYawTowardActor
z_actor,8002DA9C,Actor_FocusYawTowardActor
z_actor,8002DAC0,Actor_WorldYawTowardPoint
z_actor,8002DAE0,Actor_WorldPitchTowardActor
z_actor,8002DB04,Actor_FocusPitchTowardActor
z_actor,8002DB28,Actor_WorldPitchTowardPoint
z_actor,8002DB48,Actor_WorldDistXYZToActor
z_actor,8002DB6C,Actor_WorldDistXYZToPoint
z_actor,8002DB8C,Actor_WorldDistXZToActor
z_actor,8002DBB0,Actor_WorldDistXZToPoint
z_actor,8002DBD0,func_8002DBD0
z_actor,8002DC74,Actor_HeightDiff
z_actor,8002DC84,Player_GetHeight
z_actor,8002DCE4,func_8002DCE4
z_actor,8002DD6C,func_8002DD6C
z_actor,8002DD78,func_8002DD78
z_actor,8002DDA8,func_8002DDA8
z_actor,8002DDE4,func_8002DDE4
z_actor,8002DDF4,func_8002DDF4
z_actor,8002DE04,func_8002DE04
z_actor,8002DE74,func_8002DE74
z_actor,8002DECC,Actor_MountHorse
z_actor,8002DEEC,func_8002DEEC
z_actor,8002DF18,func_8002DF18
z_actor,8002DF38,func_8002DF38
z_actor,8002DF54,func_8002DF54
z_actor,8002DF90,func_8002DF90
z_actor,8002DFA4,func_8002DFA4
z_actor,8002DFC8,func_8002DFC8
